,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
27,1,148,dodge,gas,turbo,?,sedan,fwd,front,93.7,157.3,63.8,50.6,2191.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102,5500,24.0,30.0,8558
28,-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,four,122.0,2bbl,3.34,3.46,8.5,88,5000,24.0,30.0,8921
29,3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811.0,ohc,four,156.0,mfi,3.6,3.9,7.0,145,5000,19.0,24.0,12964
30,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713.0,ohc,four,92.0,1bbl,2.91,3.41,9.6,58,4800,49.0,54.0,6479
31,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000,31.0,38.0,6855
32,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837.0,ohc,four,79.0,1bbl,2.91,3.07,10.1,60,5500,38.0,42.0,5399
33,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000,30.0,34.0,6529
34,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000,30.0,34.0,7129
35,0,110,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000,30.0,34.0,7295
36,0,78,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024.0,ohc,four,92.0,1bbl,2.92,3.41,9.2,76,6000,30.0,34.0,7295
37,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800,27.0,33.0,7895
38,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800,27.0,33.0,9095
39,0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800,27.0,33.0,8845
40,0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372.0,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800,27.0,33.0,10295
41,0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465.0,ohc,four,110.0,mpfi,3.15,3.58,9.0,101,5800,24.0,28.0,12945
42,1,107,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293.0,ohc,four,110.0,2bbl,3.15,3.58,9.1,100,5500,25.0,31.0,10345
43,0,?,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337.0,ohc,four,111.0,2bbl,3.31,3.23,8.5,78,4800,24.0,29.0,6785
44,1,?,isuzu,gas,std,two,sedan,fwd,front,94.5,155.9,63.6,52.0,1874.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70,5400,38.0,43.0,?
45,0,?,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52.0,1909.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70,5400,38.0,43.0,?
46,2,?,isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734.0,ohc,four,119.0,spfi,3.43,3.23,9.2,90,5000,24.0,29.0,11048
47,0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176,4750,15.0,19.0,32250
48,0,?,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,six,258.0,mpfi,3.63,4.17,8.1,176,4750,15.0,19.0,35550
49,0,?,jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950.0,ohcv,twelve,326.0,mpfi,3.54,2.76,11.5,262,5000,13.0,17.0,36000
50,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000,30.0,31.0,5195
51,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000,31.0,38.0,6095
52,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000,31.0,38.0,6795
53,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945.0,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000,31.0,38.0,6695
54,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950.0,ohc,four,91.0,2bbl,3.08,3.15,9.0,68,5000,31.0,38.0,7395
55,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70.0,4bbl,?,?,9.4,101,6000,17.0,23.0,10945
56,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70.0,4bbl,?,?,9.4,101,6000,17.0,23.0,11845
57,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385.0,rotor,two,70.0,4bbl,?,?,9.4,101,6000,17.0,23.0,13645
58,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500.0,rotor,two,80.0,mpfi,?,?,9.4,135,6000,16.0,23.0,15645
59,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800,26.0,32.0,8845
60,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800,26.0,32.0,8495
61,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800,26.0,32.0,10595
62,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800,26.0,32.0,10245
63,0,?,mazda,diesel,std,?,sedan,fwd,front,98.8,177.8,66.5,55.5,2443.0,ohc,four,122.0,idi,3.39,3.39,22.7,64,4650,36.0,42.0,10795
64,0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425.0,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800,26.0,32.0,11245
65,0,118,mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670.0,ohc,four,140.0,mpfi,3.76,3.16,8.0,120,5000,19.0,27.0,18280
66,0,?,mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700.0,ohc,four,134.0,idi,3.43,3.64,22.0,72,4200,31.0,39.0,18344
67,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515.0,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350,22.0,25.0,25552
68,-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750.0,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350,22.0,25.0,28248
69,0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495.0,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350,22.0,25.0,28176
70,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770.0,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350,22.0,25.0,31600
71,-1,?,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155,4750,16.0,18.0,34184
72,3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685.0,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155,4750,16.0,18.0,35056
73,0,?,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900.0,ohcv,eight,308.0,mpfi,3.8,3.35,8.0,184,4500,14.0,16.0,40960
74,1,?,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715.0,ohcv,eight,304.0,mpfi,3.8,3.35,8.0,184,4500,14.0,16.0,45400
75,1,?,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910.0,ohc,four,140.0,mpfi,3.78,3.12,8.0,175,5000,19.0,24.0,16503
76,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68,5500,37.0,41.0,5389
77,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68,5500,31.0,38.0,6189
78,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004.0,ohc,four,92.0,2bbl,2.97,3.23,9.4,68,5500,31.0,38.0,6669
79,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145.0,ohc,four,98.0,spdi,3.03,3.39,7.6,102,5500,24.0,30.0,7689
80,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116,5500,23.0,30.0,9959
81,3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000,25.0,32.0,8499
82,3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833.0,ohc,four,156.0,spdi,3.58,3.86,7.0,145,5000,19.0,24.0,12629
83,3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145,5000,19.0,24.0,14869
84,3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145,5000,19.0,24.0,14489
85,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000,25.0,32.0,6989
86,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000,25.0,32.0,8189
87,1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116,5500,23.0,30.0,9279
88,-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,ohc,four,110.0,spdi,3.17,3.46,7.5,116,5500,23.0,30.0,9279
89,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200,31.0,37.0,5499
90,1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017.0,ohc,four,103.0,idi,2.99,3.47,21.9,55,4800,45.0,50.0,7099
91,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200,31.0,37.0,6649
92,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200,31.0,37.0,6849
93,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200,31.0,37.0,7349
94,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200,31.0,37.0,7299
95,1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200,31.0,37.0,7799
96,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200,31.0,37.0,7499
97,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200,31.0,37.0,7999
98,2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008.0,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200,31.0,37.0,8249
99,0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97,5200,27.0,34.0,8949
100,0,106,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302.0,ohc,four,120.0,2bbl,3.33,3.47,8.5,97,5200,27.0,34.0,9549
101,0,128,nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152,5200,17.0,22.0,13499
102,0,108,nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152,5200,17.0,22.0,14399
103,0,108,nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,152,5200,19.0,25.0,13499
104,3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,160,5200,19.0,25.0,17199
105,3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139.0,ohcv,six,181.0,mpfi,3.43,3.27,7.8,200,5200,17.0,23.0,19699
106,1,231,nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139.0,ohcv,six,181.0,mpfi,3.43,3.27,9.0,160,5200,19.0,25.0,18399
107,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020.0,l,four,120.0,mpfi,3.46,3.19,8.4,97,5000,19.0,24.0,11900
108,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197.0,l,four,152.0,idi,3.7,3.52,21.0,95,4150,28.0,33.0,13200
109,0,?,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230.0,l,four,120.0,mpfi,3.46,3.19,8.4,97,5000,19.0,24.0,12440
110,0,?,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430.0,l,four,152.0,idi,3.7,3.52,21.0,95,4150,25.0,25.0,13860
111,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,four,120.0,mpfi,3.46,2.19,8.4,95,5000,19.0,24.0,15580
112,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,four,152.0,idi,3.7,3.52,21.0,95,4150,28.0,33.0,16900
113,0,?,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285.0,l,four,120.0,mpfi,3.46,2.19,8.4,95,5000,19.0,24.0,16695
114,0,?,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485.0,l,four,152.0,idi,3.7,3.52,21.0,95,4150,25.0,25.0,17075
115,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075.0,l,four,120.0,mpfi,3.46,3.19,8.4,97,5000,19.0,24.0,16630
116,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252.0,l,four,152.0,idi,3.7,3.52,21.0,95,4150,28.0,33.0,17950
117,0,161,peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130.0,l,four,134.0,mpfi,3.61,3.21,7.0,142,5600,18.0,24.0,18150
118,1,119,plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500,37.0,41.0,5572
119,1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,four,98.0,spdi,3.03,3.39,7.6,102,5500,24.0,30.0,7957
120,1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500,31.0,38.0,6229
121,1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500,31.0,38.0,6692
122,1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191.0,ohc,four,98.0,2bbl,2.97,3.23,9.4,68,5500,31.0,38.0,7609
123,-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000,24.0,30.0,8921
124,3,?,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818.0,ohc,four,156.0,spdi,3.59,3.86,7.0,145,5000,19.0,24.0,12764
125,3,186,porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778.0,ohc,four,151.0,mpfi,3.94,3.11,9.5,143,5500,19.0,27.0,22018
126,3,?,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207,5900,17.0,25.0,32528
127,3,?,porsche,gas,std,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207,5900,17.0,25.0,34028
128,3,?,porsche,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800.0,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207,5900,17.0,25.0,37028
129,1,?,porsche,gas,std,two,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366.0,dohcv,eight,203.0,mpfi,3.94,3.11,10.0,288,5750,17.0,28.0,?
130,0,?,renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579.0,ohc,four,132.0,mpfi,3.46,3.9,8.7,?,?,23.0,31.0,9295
131,2,?,renault,gas,std,two,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460.0,ohc,four,132.0,mpfi,3.46,3.9,8.7,?,?,23.0,31.0,9895
132,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658.0,ohc,four,121.0,mpfi,3.54,3.07,9.31,110,5250,21.0,28.0,11850
133,2,104,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695.0,ohc,four,121.0,mpfi,3.54,3.07,9.3,110,5250,21.0,28.0,12170
134,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707.0,ohc,four,121.0,mpfi,2.54,2.07,9.3,110,5250,21.0,28.0,15040
135,2,104,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758.0,ohc,four,121.0,mpfi,3.54,3.07,9.3,110,5250,21.0,28.0,15510
136,3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808.0,dohc,four,121.0,mpfi,3.54,3.07,9.0,160,5500,19.0,26.0,18150
137,2,104,saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847.0,dohc,four,121.0,mpfi,3.54,3.07,9.0,160,5500,19.0,26.0,18620
138,2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050.0,ohcf,four,97.0,2bbl,3.62,2.36,9.0,69,4900,31.0,36.0,5118
139,2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120.0,ohcf,four,108.0,2bbl,3.62,2.64,8.7,73,4400,26.0,31.0,7053
140,2,83,subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240.0,ohcf,four,108.0,2bbl,3.62,2.64,8.7,73,4400,26.0,31.0,7603
141,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145.0,ohcf,four,108.0,2bbl,3.62,2.64,9.5,82,4800,32.0,37.0,7126
142,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190.0,ohcf,four,108.0,2bbl,3.62,2.64,9.5,82,4400,28.0,33.0,7775
143,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340.0,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94,5200,26.0,32.0,9960
144,0,102,subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385.0,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82,4800,24.0,25.0,9233
145,0,102,subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510.0,ohcf,four,108.0,mpfi,3.62,2.64,7.7,111,4800,24.0,29.0,11259
146,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290.0,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82,4800,28.0,32.0,7463
147,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455.0,ohcf,four,108.0,mpfi,3.62,2.64,9.0,94,5200,25.0,31.0,10198
148,0,85,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420.0,ohcf,four,108.0,2bbl,3.62,2.64,9.0,82,4800,23.0,29.0,8013
